subject,day,condition,choice_correct,confidence
sub32,1,unpredictable,False,1
sub32,1,unpredictable,False,1
sub33,1,unpredictable,True,5
sub33,1,unpredictable,False,5
sub33,1,unpredictable,False,4
sub33,1,predictable,True,3
sub33,1,predictable,False,5
sub33,1,unpredictable,True,4
sub33,1,unpredictable,False,3
sub33,1,predictable,True,3
sub33,1,predictable,False,5
sub33,1,unpredictable,False,2
sub33,1,predictable,False,4
sub33,1,unpredictable,False,3
sub33,1,predictable,False,3
sub33,1,unpredictable,False,4
sub33,1,predictable,True,4
sub33,1,predictable,False,3
sub34,1,predictable,True,7
sub34,1,predictable,False,4
sub34,1,predictable,False,3
sub34,1,unpredictable,True,2
sub34,1,unpredictable,False,2
sub34,1,unpredictable,False,3
sub34,1,unpredictable,False,1
sub34,1,unpredictable,True,3
sub34,1,predictable,False,4
sub34,1,unpredictable,False,2
sub34,1,predictable,False,2
sub34,1,unpredictable,True,3
sub34,1,predictable,True,3
sub34,1,unpredictable,False,4
sub34,1,predictable,False,2
sub34,1,predictable,False,2
sub35,1,predictable,True,1
sub35,1,predictable,False,1
sub35,1,unpredictable,False,2
sub35,1,predictable,False,1
sub35,1,predictable,False,1
sub35,1,unpredictable,False,1
sub35,1,unpredictable,False,1
sub35,1,unpredictable,False,1
sub35,1,predictable,False,1
sub35,1,predictable,True,1
sub35,1,unpredictable,True,1
sub35,1,unpredictable,False,2
sub35,1,unpredictable,False,1
sub35,1,predictable,False,1
sub35,1,unpredictable,False,1
sub35,1,predictable,False,1
sub36,1,predictable,True,6
sub36,1,predictable,False,5
sub36,1,unpredictable,True,6
sub36,1,unpredictable,False,5
sub36,1,predictable,True,6
sub36,1,predictable,False,4
sub36,1,predictable,False,5
sub36,1,unpredictable,False,4
sub36,1,predictable,True,4
sub36,1,unpredictable,True,3
sub36,1,unpredictable,False,4
sub36,1,predictable,False,1
sub36,1,unpredictable,False,4
sub36,1,unpredictable,False,3
sub36,1,predictable,False,5
sub36,1,unpredictable,False,3
sub37,1,predictable,False,3
sub37,1,unpredictable,False,3
sub37,1,unpredictable,True,3
sub37,1,predictable,False,4
sub37,1,predictable,False,1
sub37,1,predictable,False,3
sub37,1,unpredictable,False,4
sub37,1,unpredictable,False,4
sub37,1,predictable,False,4
sub37,1,predictable,False,4
sub37,1,unpredictable,True,4
sub37,1,predictable,False,3
sub37,1,predictable,False,2
sub37,1,unpredictable,False,4
sub37,1,unpredictable,False,3
sub37,1,unpredictable,False,3
sub38,1,predictable,True,3
sub38,1,predictable,True,6
sub38,1,predictable,False,3
sub38,1,predictable,True,7
sub38,1,predictable,False,1
sub38,1,unpredictable,True,4
sub38,1,unpredictable,True,3
sub38,1,predictable,False,4
sub38,1,predictable,False,4
sub38,1,predictable,False,4
sub38,1,unpredictable,False,4
sub38,1,unpredictable,False,5
sub38,1,unpredictable,False,5
sub38,1,unpredictable,True,4
sub38,1,unpredictable,False,6
sub38,1,unpredictable,False,3
sub39,1,unpredictable,False,4
sub39,1,unpredictable,False,4
sub39,1,unpredictable,True,4
sub39,1,predictable,True,4
sub39,1,predictable,False,4
sub39,1,predictable,False,4
sub39,1,predictable,False,4
sub39,1,unpredictable,False,4
sub39,1,predictable,False,4
sub39,1,unpredictable,False,4
sub39,1,unpredictable,False,4
sub39,1,predictable,False,4
sub39,1,predictable,True,4
sub39,1,predictable,False,4
sub39,1,unpredictable,True,4
sub39,1,unpredictable,True,4
sub40,1,predictable,False,1
sub40,1,unpredictable,False,4
sub40,1,predictable,False,2
sub40,1,predictable,True,4
sub40,1,predictable,True,7
sub40,1,unpredictable,False,2
sub40,1,predictable,True,5
sub40,1,unpredictable,False,1
sub40,1,unpredictable,False,2
sub40,1,unpredictable,False,1
sub40,1,predictable,True,3
sub40,1,unpredictable,False,1
sub40,1,unpredictable,False,1
sub40,1,predictable,False,2
sub40,1,unpredictable,False,1
sub40,1,predictable,True,7
sub41,1,predictable,False,2
